method_name,diameter_mm,snr_condition,max_detectable_depth_mm
Matched Filter,4,20dB,0.6
Matched Filter,4,25dB,1
Matched Filter,4,30dB,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,4,clean,1
Matched Filter,6,20dB,0.6
Matched Filter,6,25dB,1
Matched Filter,6,30dB,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,6,clean,1
Matched Filter,8,20dB,1
Matched Filter,8,25dB,1
Matched Filter,8,30dB,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
Matched Filter,8,clean,1
