method_name,depth_mm,total_evaluations,detection_rate_pct,mean_iou,mean_cnr,mean_loc_error_mm
Matched Filter,0.2,155,98.7096774193548,0.357943425672361,1.59072194878263,0.651834515185373
Matched Filter,0.4,155,97.4193548387097,0.415302592341705,1.73783268712434,0.861997524357093
Matched Filter,0.6,155,98.7096774193548,0.38525617238224,1.79493755175828,1.24300429046394
Matched Filter,0.8,155,95.4838709677419,0.332214540492405,1.78822627308821,1.34482933349868
Matched Filter,1,155,93.5483870967742,0.264719762847122,1.73397408433121,1.48158860616553
PCT,0.2,155,74.1935483870968,0.379054115778971,1.89500294403493,0.222065478016357
PCT,0.4,155,87.0967741935484,0.49919563962938,2.08344461853278,0.319384443593919
PCT,0.6,155,78.0645161290323,0.467076786654216,2.04104266594742,0.27511144515511
PCT,0.8,155,80.6451612903226,0.440289351075412,1.90199524333401,0.340746170218134
PCT,1,155,74.1935483870968,0.433949581314458,1.7957157896356,0.384567969681211
RPT,0.2,155,85.8064516129032,0.503360316305891,1.33069979746909,0.717986368423727
RPT,0.4,155,70.3225806451613,0.4067331306817,1.0922873902256,0.770738886003389
RPT,0.6,155,54.8387096774194,0.324762274546087,0.866000809061326,0.711230483180092
RPT,0.8,155,45.8064516129032,0.253751271721062,0.694581906880343,0.820226945880359
RPT,1,155,32.9032258064516,0.173555363176002,0.531316624709263,0.937099290281391
Raw Contrast,0.2,155,100,0.494294307483845,1.81841686051183,0.686631790868068
Raw Contrast,0.4,155,93.5483870967742,0.483288101030324,1.82389653026019,0.807803687440304
Raw Contrast,0.6,155,88.3870967741936,0.422324232970128,1.65708788146397,1.12072442122689
Raw Contrast,0.8,155,83.2258064516129,0.378460755180964,1.45867010289382,1.23238060742307
Raw Contrast,1,155,76.7741935483871,0.312476501368182,1.22677758763531,1.67461642958318
SPCT,0.2,155,61.2903225806452,0.292976686871596,1.72352862133356,0.0335735832134046
SPCT,0.4,155,72.9032258064516,0.390435803819509,1.93594423425937,0.207874139252963
SPCT,0.6,155,72.9032258064516,0.451428474701657,1.92684978029461,0.253958147685237
SPCT,0.8,155,69.0322580645161,0.430829173388904,1.86392168736143,0.270980067775901
SPCT,1,155,72.9032258064516,0.457428651421792,1.75472610766488,0.27576811240889
