method_name,snr_condition,total_evaluations,detection_rate_pct,mean_iou,mean_cnr,mean_loc_error_mm
Matched Filter,clean,25,100,0.0080078125,0,0
Matched Filter,30dB,250,100,0.389880183536858,2.110168058339,0.93717677468992
Matched Filter,25dB,250,100,0.332318761440515,1.80123612312585,1.18351609794545
Matched Filter,20dB,250,90,0.365370899888843,1.44892519648765,1.35006148682325
PCT,clean,25,100,0.0080078125,0,0
PCT,30dB,250,77.6,0.4623253049727,2.37532198957386,0.252659699775838
PCT,25dB,250,80,0.472420089697051,1.99299601198901,0.285671892081065
PCT,20dB,250,76.8,0.440584418240759,1.65634678055768,0.430266366347442
RPT,clean,25,100,0.0080078125,0,0
RPT,30dB,250,76.8,0.448444703034478,1.35700002987271,0.69858953734985
RPT,25dB,250,58.8,0.372771767995896,0.910049486712193,0.864744317757672
RPT,20dB,250,34,0.208523408706686,0.532180130989385,0.996928090886355
Raw Contrast,clean,25,100,0.0080078125,0,0
Raw Contrast,30dB,250,97.6,0.43370157708671,2.09285876557022,1.07857371130911
Raw Contrast,25dB,250,88.8,0.445264775430338,1.66196263422279,0.991757995144865
Raw Contrast,20dB,250,77.6,0.416556083013687,1.19578495712137,1.29903557199933
SPCT,clean,25,100,0.0080078125,0,0
SPCT,30dB,250,68.8,0.418685475452925,2.220521519579,0.166503852743368
SPCT,25dB,250,69.6,0.421977470896258,1.90873384867852,0.222886828192889
SPCT,20dB,250,68,0.412857522326961,1.57782629890907,0.283013129447613
