method,diameter_mm,detection_rate,mean_cnr,std_cnr,mean_iou,std_iou,mean_loc_error_detected_mm,std_loc_error_detected_mm,mean_loc_error_mm,std_loc_error_mm
Matched Filter,4.0,0.03225806451612903,0.814,1.224,0.0,0.001,0.0,0.0,0.0,0.0
Matched Filter,6.0,0.01935483870967742,2.204,4.35,0.013,0.044,0.0,0.0,0.0,0.0
Matched Filter,8.0,0.2064516129032258,0.896,0.431,0.088,0.129,2.955,1.087,2.955,1.087
Matched Filter,10.0,0.535483870967742,1.149,0.39,0.242,0.238,2.778,1.262,2.778,1.262
Matched Filter,12.0,0.864516129032258,1.644,0.425,0.617,0.276,2.367,1.491,2.367,1.491
PCT,4.0,0.0,2.849,12.74,0.0,0.0,,,,
PCT,6.0,0.0,4.996,10.897,0.0,0.0,,,,
PCT,8.0,0.1935483870967742,1.16,0.707,0.129,0.264,1.613,0.0,1.613,0.0
PCT,10.0,0.45161290322580644,1.07,0.569,0.336,0.362,0.949,0.696,0.949,0.696
PCT,12.0,0.45161290322580644,1.423,0.509,0.311,0.342,1.107,0.706,1.107,0.706
RPT,4.0,0.0,0.511,2.373,0.0,0.0,,,,
RPT,6.0,0.0,1.583,6.258,0.0,0.0,,,,
RPT,8.0,0.0,0.662,0.397,0.0,0.0,,,,
RPT,10.0,0.1935483870967742,0.517,0.371,0.086,0.196,3.039,1.025,3.039,1.025
RPT,12.0,0.6451612903225806,0.754,0.394,0.38,0.318,2.333,1.222,2.333,1.222
Raw Contrast,4.0,0.012903225806451613,0.561,2.974,0.0,0.001,0.0,0.0,0.0,0.0
Raw Contrast,6.0,0.0,1.106,6.657,0.0,0.0,,,,
Raw Contrast,8.0,0.0,0.454,0.356,0.0,0.0,,,,
Raw Contrast,10.0,0.0064516129032258064,0.171,0.391,0.005,0.06,0.0,,0.0,
Raw Contrast,12.0,0.025806451612903226,0.147,0.428,0.021,0.13,0.0,0.0,0.0,0.0
SPCT,4.0,0.0,5.413,37.59,0.0,0.0,,,,
SPCT,6.0,0.0,2.825,9.086,0.0,0.0,,,,
SPCT,8.0,0.0,0.793,0.6,0.0,0.0,,,,
SPCT,10.0,0.3225806451612903,0.785,0.48,0.196,0.333,1.537,1.634,1.537,1.634
SPCT,12.0,0.3225806451612903,0.753,0.54,0.142,0.283,2.7,2.07,2.7,2.07
