method,diameter_mm,detection_rate,mean_cnr,std_cnr,mean_iou,std_iou,mean_loc_error_mm,std_loc_error_mm
Matched Filter,4.0,0.03225806451612903,0.8138386613383123,1.2237719095031345,0.0002087303113956142,0.0011471822440802147,35.093887279507385,13.14821827787146
Matched Filter,6.0,0.01935483870967742,2.2039662294561086,4.349874704565705,0.013059628543499513,0.04364735931844224,34.50179606304987,14.312663199188723
Matched Filter,8.0,0.2064516129032258,0.8956932613411455,0.43064527323038876,0.08821842715580856,0.12910890835969518,28.79718873588812,19.203586922611052
Matched Filter,10.0,0.535483870967742,1.1493129143585963,0.38982955121706636,0.2418837329653269,0.2382982451311822,19.57104637199091,20.095795293582842
Matched Filter,12.0,0.864516129032258,1.6444567304542173,0.4247218055643851,0.6165065042484398,0.2758233429172571,4.930402335850631,10.58694559124029
PCT,4.0,0.0,2.8489530869315254,12.73957685868546,0.0,0.0,16.92035713260727,15.489486568931158
PCT,6.0,0.0,4.995777453547027,10.896561412511948,0.0,0.0,15.036868230090345,14.766617736155874
PCT,8.0,0.1935483870967742,1.1603650999928168,0.7065403056265096,0.12903225806451613,0.26423975943792366,13.735336873090315,15.312026314167957
PCT,10.0,0.45161290322580644,1.0698678650976718,0.5687700851364773,0.33584701087227325,0.36190949299979175,3.0802902831440595,3.657767270288014
PCT,12.0,0.45161290322580644,1.42298066785694,0.5090769951462609,0.31087836894288506,0.34223975750381447,1.6151088421988737,2.8028919749309953
RPT,4.0,0.0,0.5108608775378913,2.37330884655717,0.0,0.0,17.14760674426691,3.1408585366294077
RPT,6.0,0.0,1.583179422069219,6.258412285480588,0.0,0.0,14.861259178364655,6.538218424834392
RPT,8.0,0.0,0.6616274318105341,0.3973536572919518,0.0,0.0,12.574911612462401,8.069011679938107
RPT,10.0,0.1935483870967742,0.5174651800429042,0.3713907078608144,0.08640552995391705,0.19569969203601867,10.876689055909281,8.149539755859157
RPT,12.0,0.6451612903225806,0.7538691772141005,0.3935457823693387,0.3797235023041474,0.31831844175116275,7.221127900837392,7.3450334106148265
Raw Contrast,4.0,0.012903225806451613,0.5610308022787508,2.974291711284023,8.659883091578263e-05,0.0007598856362421391,25.483868843236483,4.667778320107806
Raw Contrast,6.0,0.0,1.1056906723317563,6.657107277158049,0.0,0.0,25.483868843236483,4.667778320107806
Raw Contrast,8.0,0.0,0.4541067707083512,0.35591469030216005,0.0,0.0,25.483868843236483,4.667778320107806
Raw Contrast,10.0,0.0064516129032258064,0.17092537970827745,0.391113425177036,0.004838709677419355,0.060241449667687415,25.483868843236483,4.667778320107806
Raw Contrast,12.0,0.025806451612903226,0.146673062423219,0.4280570362678964,0.021075268817204302,0.12993612343655153,25.483868843236483,4.667778320107806
SPCT,4.0,0.0,5.412833032464563,37.589684022376225,0.0,0.0,29.39163345437557,16.34998342690057
SPCT,6.0,0.0,2.8249149292501565,9.086194197207993,0.0,0.0,30.646874519750266,17.495206690521318
SPCT,8.0,0.0,0.7926857102943524,0.6002720537656393,0.0,0.0,24.514140276575045,18.483278149334872
SPCT,10.0,0.3225806451612903,0.7847438287517344,0.47992501969862184,0.19605896949350463,0.3325858453313866,14.061477373930256,17.1961931276848
SPCT,12.0,0.3225806451612903,0.7529022218649276,0.5395038706620998,0.1423995841586214,0.28296184176081396,12.155376617506661,16.026232958963334
