method,noise_condition,detection_rate,mean_cnr,std_cnr,mean_iou,std_iou,mean_loc_error_mm
Matched Filter,Clean,0.68,7.3441184905744885,9.572758892597532,0.23650624914277402,0.3199592358330133,0.0
Matched Filter,SNR 20 dB,0.2,0.778700097560979,0.35066784934086526,0.14959001782531195,0.3057923328914001,36.043132147312406
Matched Filter,SNR 25 dB,0.32,1.1269839612196924,0.509454070680828,0.20719251336898395,0.3181054622001234,29.506499298586764
Matched Filter,SNR 30 dB,0.44,1.5184101262698753,0.7488456508283678,0.2146905982905983,0.2227113846839147,10.644847441598724
PCT,Clean,0.0,26.1751091390408,32.84816100351126,0.0,0.0,0.0
PCT,SNR 20 dB,0.16,0.7725397699029056,0.728254297360001,0.11488484848484849,0.2479846272729699,22.649965092417485
PCT,SNR 25 dB,0.24,1.299458127504544,1.888843814153961,0.18008488700054964,0.3201813866266501,6.890488329074625
PCT,SNR 30 dB,0.28,2.439216576212578,3.5671055555309037,0.186,0.30464498617858177,1.7000826224090217
RPT,Clean,0.0,9.42618694425278,14.293213716052499,0.0,0.0,0.0
RPT,SNR 20 dB,0.04,0.2827055720692292,0.24712534950199047,0.026666666666666665,0.1309015183130176,15.671642371167788
RPT,SNR 25 dB,0.16,0.4862762607891258,0.5128374867075662,0.08952380952380952,0.21858065919959074,13.173692014673598
RPT,SNR 30 dB,0.32,0.7851407676946496,0.7933561381642804,0.1728095238095238,0.2776728683404624,10.017254199099812
Raw Contrast,Clean,0.28,11.018180719652793,15.104233852012172,0.1612035794183445,0.32798717737187577,0.0
Raw Contrast,SNR 20 dB,0.0,0.1370924471813752,0.12801766827295163,0.0,0.0,26.333331138011033
Raw Contrast,SNR 25 dB,0.0,0.13660754069206393,0.12802433963763019,0.0,0.0,26.333331138011033
Raw Contrast,SNR 30 dB,0.0,0.1363064863805015,0.128028473445607,0.0,0.0,26.333331138011033
SPCT,Clean,0.0,39.6593128491777,90.35313850476055,0.0,0.0,0.0
SPCT,SNR 20 dB,0.0,0.4445799271427352,0.17985398801886768,0.010181818181818183,0.023658539881893766,26.00495689386758
SPCT,SNR 25 dB,0.16,0.6057920244861459,0.3558623257921915,0.00948188307581097,0.025999061303450213,22.669264303445857
SPCT,SNR 30 dB,0.24,1.535906191481304,1.39967336963671,0.19018060200668896,0.3416690091968856,20.002870192812
