method,noise_condition,detection_rate,mean_cnr,std_cnr,mean_iou,std_iou,mean_loc_error_detected_mm,mean_loc_error_mm
Matched Filter,Clean,0.68,7.344,9.573,0.237,0.32,0.0,0.0
Matched Filter,SNR 20 dB,0.2,0.779,0.351,0.15,0.306,1.411,1.411
Matched Filter,SNR 25 dB,0.32,1.127,0.509,0.207,0.318,2.067,2.067
Matched Filter,SNR 30 dB,0.44,1.518,0.749,0.215,0.223,3.695,3.695
PCT,Clean,0.0,26.175,32.848,0.0,0.0,,
PCT,SNR 20 dB,0.16,0.773,0.728,0.115,0.248,1.092,1.092
PCT,SNR 25 dB,0.24,1.299,1.889,0.18,0.32,1.023,1.023
PCT,SNR 30 dB,0.28,2.439,3.567,0.186,0.305,1.246,1.246
RPT,Clean,0.0,9.426,14.293,0.0,0.0,,
RPT,SNR 20 dB,0.04,0.283,0.247,0.027,0.131,1.969,1.969
RPT,SNR 25 dB,0.16,0.486,0.513,0.09,0.219,2.599,2.599
RPT,SNR 30 dB,0.32,0.785,0.793,0.173,0.278,2.51,2.51
Raw Contrast,Clean,0.28,11.018,15.104,0.161,0.328,0.0,0.0
Raw Contrast,SNR 20 dB,0.0,0.137,0.128,0.0,0.0,,
Raw Contrast,SNR 25 dB,0.0,0.137,0.128,0.0,0.0,,
Raw Contrast,SNR 30 dB,0.0,0.136,0.128,0.0,0.0,,
SPCT,Clean,0.0,39.659,90.353,0.0,0.0,,
SPCT,SNR 20 dB,0.0,0.445,0.18,0.01,0.024,,
SPCT,SNR 25 dB,0.16,0.606,0.356,0.009,0.026,4.347,4.347
SPCT,SNR 30 dB,0.24,1.536,1.4,0.19,0.342,0.633,0.633
