method,depth_mm,detection_rate,mean_cnr,std_cnr,mean_iou,std_iou,mean_loc_error_detected_mm,std_loc_error_detected_mm,mean_loc_error_mm,std_loc_error_mm
Matched Filter,0.2,0.4580645161290322,1.811,3.702,0.264,0.319,1.808,1.374,1.808,1.374
Matched Filter,0.4,0.2258064516129032,1.121,1.273,0.106,0.212,3.156,1.307,3.156,1.307
Matched Filter,0.6,0.4,1.405,1.772,0.241,0.338,2.264,1.51,2.264,1.51
Matched Filter,0.8,0.2838709677419355,1.221,1.401,0.174,0.265,2.99,1.177,2.99,1.177
Matched Filter,1.0,0.2903225806451613,1.149,1.241,0.175,0.262,2.924,1.246,2.924,1.246
PCT,0.2,0.1290322580645161,4.355,11.161,0.095,0.248,1.003,0.625,1.003,0.625
PCT,0.4,0.3225806451612903,1.86,7.889,0.221,0.315,1.491,0.326,1.491,0.326
PCT,0.6,0.1290322580645161,2.281,7.151,0.101,0.26,0.394,0.0,0.394,0.0
PCT,0.8,0.3225806451612903,1.58,5.365,0.22,0.328,1.245,0.761,1.245,0.761
PCT,1.0,0.1935483870967742,1.422,4.57,0.138,0.269,0.919,0.755,0.919,0.755
RPT,0.2,0.2580645161290322,1.709,5.413,0.194,0.331,1.358,0.457,1.358,0.457
RPT,0.4,0.1935483870967742,0.632,2.209,0.083,0.179,3.039,1.025,3.039,1.025
RPT,0.6,0.1290322580645161,0.748,2.558,0.095,0.25,1.447,0.535,1.447,0.535
RPT,0.8,0.1935483870967742,0.504,1.599,0.069,0.143,3.752,0.0,3.752,0.0
RPT,1.0,0.064516129032258,0.434,1.3,0.025,0.094,3.752,0.0,3.752,0.0
Raw Contrast,0.2,0.0,0.782,5.931,0.0,0.0,,,,
Raw Contrast,0.4,0.0064516129032258,0.452,2.373,0.005,0.067,0.0,,0.0,
Raw Contrast,0.6,0.0064516129032258,0.458,2.614,0.005,0.064,0.0,,0.0,
Raw Contrast,0.8,0.0129032258064516,0.387,1.923,0.005,0.064,0.0,0.0,0.0,0.0
Raw Contrast,1.0,0.0193548387096774,0.36,1.669,0.01,0.09,0.0,0.0,0.0,0.0
SPCT,0.2,0.0,3.72,32.732,0.001,0.004,,,,
SPCT,0.4,0.2580645161290322,2.304,15.908,0.113,0.279,2.534,2.207,2.534,2.207
SPCT,0.6,0.064516129032258,2.334,12.168,0.056,0.197,0.394,0.0,0.394,0.0
SPCT,0.8,0.1290322580645161,1.141,4.368,0.059,0.196,2.64,2.305,2.64,2.305
SPCT,1.0,0.1935483870967742,1.069,4.12,0.108,0.251,1.791,1.152,1.791,1.152
